WKT,name,description,nome,latitudine,longitudine
"GEOMETRYCOLLECTION (POLYGON ((9.1690642 45.4494464, 9.1691688 45.4492111, 9.1693914 45.4493353, 9.1690642 45.4494464)), POLYGON ((9.1690642 45.4494464, 9.1689623 45.4494304, 9.1689194 45.4494859, 9.1685278 45.4498566, 9.1680906 45.4497437, 9.1682864 45.4492939, 9.1690642 45.4494464)))",Romolo 2 Back,,,,
,,,,,
POINT (9.3037603 45.5672119),San Damiano,,San Damiano,45.5672119,9.3037603
"POLYGON ((9.3034747 45.5672723, 9.3034687 45.5672155, 9.3038482 45.5671723, 9.3038703 45.5672549, 9.3034747 45.5672723))",San Damiano,,,45.5672723,9.3034747
"POLYGON ((9.17864 45.449173, 9.179182 45.449152, 9.179201 45.449508, 9.178654 45.449519, 9.17864 45.449173))",San Gottardo,,,45.449173,9.17864
POINT (9.2096304 45.5132478),Sbarre Rosse Bicocca,,,45.5132478,9.2096304
"POLYGON ((9.209552 45.513287, 9.209538 45.513258, 9.209768 45.5132, 9.209784 45.513228, 9.209552 45.513287))",Sbarre Rosse Bicocca,,,45.513287,9.209552
POINT (9.1679635 45.4500897),Scale Porta Genova,Stairs with some fun challenges to drop down and a tree in front.,,45.4500897,9.1679635
"POLYGON ((9.167814 45.450114, 9.167849 45.450043, 9.16812 45.450095, 9.168079 45.450165, 9.167814 45.450114))",Scale Porta Genova,,,45.450114,9.167814
POINT (9.254175 45.487421 0.0),Scale via Rombon,,,45.487421,9.254175
"GEOMETRYCOLLECTION (POLYGON ((9.25378 45.487457, 9.253834 45.487493, 9.253754 45.487555, 9.253697 45.48751, 9.25378 45.487457)), POLYGON ((9.254295 45.487098, 9.254389 45.487034, 9.254448 45.487085, 9.254338 45.487147, 9.254295 45.487098)))",Scale via Rombon,,,,
POINT (9.1346499 45.4696875),Selinunte Esselunga ,,,45.4696875,9.1346499
"POLYGON ((9.1344648 45.4697834, 9.1342932 45.4696762, 9.134599 45.4694843, 9.1348082 45.4696311, 9.1347384 45.4696894, 9.1346553 45.469648, 9.1344648 45.4697834))",Selinunte Esselunga ,,,45.4697834,9.1344648
POINT (9.2075061 45.6491863),Seregno Piazza Risorgimento ,,,45.6491863,9.2075061
,,,,,
"GEOMETRYCOLLECTION (POLYGON ((9.2082491 45.6492565, 9.2084529 45.6492547, 9.2084462 45.6493606, 9.2082424 45.6493559, 9.2082491 45.6492565)), POLYGON ((9.2073465 45.6493109, 9.2073492 45.649355, 9.207203 45.6493559, 9.2072017 45.6493137, 9.2073465 45.6493109)), POLYGON ((9.2073452 45.6490915, 9.2073411 45.649145, 9.207203 45.649144, 9.2072057 45.6490934, 9.2073452 45.6490915)), POLYGON ((9.2078749 45.6492537, 9.2078763 45.6492781, 9.2076992 45.6492828, 9.2076965 45.6490906, 9.2077904 45.6490887, 9.2077931 45.649205, 9.2078763 45.649205, 9.2078749 45.6492537)))",Seregno Piazza Risorgimento ,,,,
POINT (9.10332 45.427317 0.0),Sopraparcheggio Corsico,,,45.427317,9.10332
"POLYGON ((9.103145 45.427254, 9.103251 45.427054, 9.103688 45.427086, 9.103544 45.427346, 9.103145 45.427254))",Sopraparcheggio Corsico,,,45.427254,9.103145
POINT (9.091643 45.430529 0.0),Stazione Cesano,,,45.430529,9.091643
"POLYGON ((9.090881 45.430055, 9.090924 45.429985, 9.091592 45.430196, 9.091549 45.430258, 9.090881 45.430055))",Stazione Cesano,,,45.430055,9.090881
POINT (9.06691 45.420312 0.0),Stazione Trezzano,,,45.420312,9.06691
"POLYGON ((9.06688 45.420137, 9.067229 45.420284, 9.067135 45.420384, 9.066773 45.42024, 9.06688 45.420137))",Stazione Trezzano,,,45.420137,9.06688
POINT (9.170435 45.5262024),Sottopassaggio Bruzzano,,,45.5262024,9.170435
,,,,,
"POLYGON ((9.1703062 45.5261648, 9.1702043 45.5259637, 9.1702606 45.5259036, 9.1704162 45.5258848, 9.1704698 45.5259525, 9.1705181 45.5261329, 9.170435 45.5262024, 9.1703062 45.5261648))",Sottopassaggio Bruzzano,,,45.5261648,9.1703062
POINT (9.119029 45.439244 0.0),Sottopassaggio Lorenteggio,Watch out for the bikes,,45.439244,9.119029
"GEOMETRYCOLLECTION (POLYGON ((9.118955 45.439316, 9.118805 45.439264, 9.118889 45.439176, 9.118967 45.439203, 9.119002 45.439242, 9.118955 45.439316)), POLYGON ((9.118967 45.439203, 9.119104 45.439031, 9.119195 45.439057, 9.119155 45.43912, 9.119055 45.439093, 9.118967 45.439203)))",Sottopassaggio Lorenteggio,Watch out for the bikes,,,
POINT (9.160393 45.494461 0.0),Sottopasso Pucetta,Be careful at night,,45.494461,9.160393
"GEOMETRYCOLLECTION (POLYGON ((9.160536 45.494243, 9.160538 45.494221, 9.160775 45.49424, 9.160578 45.494589, 9.160495 45.494585, 9.160536 45.494243)), POLYGON ((9.160276 45.49423, 9.160233 45.494562, 9.160176 45.494562, 9.160038 45.494484, 9.160087 45.494432, 9.16001 45.494379, 9.160145 45.494219, 9.160276 45.49423)))",Sottopasso Pucetta,Be careful at night,,,
POINT (9.236975 45.514509 0.0),Tavoli Precotto,,,45.514509,9.236975
"POLYGON ((9.23693 45.514491, 9.236968 45.514407, 9.237052 45.514424, 9.237019 45.514506, 9.23693 45.514491))",Tavoli Precotto,,,45.514491,9.23693
POINT (9.0699369 45.416272),Trezzano Biblioteca,,,45.416272,9.0699369
,,,,,
"POLYGON ((9.0702642 45.416368, 9.070232 45.4164132, 9.0701944 45.4164037, 9.0701461 45.4163887, 9.0701113 45.4163604, 9.0700818 45.4163115, 9.0700764 45.4162776, 9.0700871 45.4162456, 9.0701166 45.4162117, 9.0700737 45.4161966, 9.0699879 45.4161985, 9.0699745 45.4161439, 9.0701783 45.4160385, 9.0702829 45.4161477, 9.0703553 45.4161552, 9.0704412 45.4161929, 9.0704197 45.4162174, 9.0704626 45.4162851, 9.0703929 45.4163002, 9.0703875 45.4163303, 9.0703339 45.4163623, 9.0702642 45.416368))",Trezzano Biblioteca,,,45.416368,9.0702642
POINT (9.2248498 45.4962198),Trotter Mini,,,45.4962198,9.2248498
,,,,,
"POLYGON ((9.2246946 45.4961942, 9.2247147 45.4961327, 9.225007 45.4961712, 9.224991 45.4962314, 9.2246946 45.4961942))",Trotter Mini,,,45.4961942,9.2246946
,,,,,
POINT (9.225403 45.497947 0.0),Turro,,,45.497947,9.225403
"GEOMETRYCOLLECTION (POLYGON ((9.225289 45.498036, 9.22523 45.498392, 9.225136 45.498388, 9.225203 45.498018, 9.225289 45.498036)), POLYGON ((9.22538 45.497608, 9.225289 45.497585, 9.225324 45.497392, 9.225415 45.497405, 9.22538 45.497608)))",Turro,,,,
POINT (9.1536274 45.4292784),Via Depretis,,,45.4292784,9.1536274
"POLYGON ((9.153751 45.429334, 9.153515 45.429269, 9.153541 45.429223, 9.153694 45.429264, 9.153682 45.429289, 9.153762 45.429312, 9.153751 45.429334))",Via Depretis,,,45.429334,9.153751
POINT (9.1548683 45.4293426),Via Depretis 2,,,45.4293426,9.1548683
"POLYGON ((9.154798 45.429429, 9.154716 45.429379, 9.15489 45.429244, 9.155052 45.42936, 9.154798 45.429429))",Via Depretis 2,,,45.429429,9.154798
POINT (9.182493 45.475615 0.0),Via Mantegazza,,,45.475615,9.182493
"POLYGON ((9.182305 45.475544, 9.182285 45.475518, 9.182246 45.475492, 9.18221 45.475474, 9.18221 45.475461, 9.182882 45.475512, 9.182866 45.475606, 9.182815 45.475602, 9.182818 45.475586, 9.182305 45.475544))",Via Mantegazza,,,45.475544,9.182305
