WKT,name,description,latitudine,longitudine
"POLYGON ((9.268206 45.545537, 9.268142 45.54551, 9.268121 45.545472, 9.268134 45.54542, 9.268177 45.545393, 9.268272 45.545384, 9.268327 45.54542, 9.268349 45.545475, 9.268316 45.54552, 9.268257 45.545536, 9.268206 45.545537))",Cologno,,45.545537,9.268206
POINT (9.2644209 45.418003),Condomini San Donato,There's also a small undercovered spot and no complaints by the residents for being in the private areas so far.,45.418003,9.2644209
"GEOMETRYCOLLECTION (POLYGON ((9.2634633 45.4183466, 9.2636572 45.4184278, 9.2636538 45.4184313, 9.2634633 45.4183466)), POLYGON ((9.2640374 45.4179441, 9.2640266 45.4179512, 9.2638979 45.4178853, 9.2640374 45.4179441)), POLYGON ((9.2636572 45.4184278, 9.2639542 45.4181263, 9.2642063 45.418243, 9.2642841 45.4181828, 9.2643941 45.4180943, 9.2640374 45.4179441, 9.2640722 45.4179211, 9.2641124 45.4178947, 9.2641419 45.4179079, 9.264276 45.4177855, 9.26415 45.4177403, 9.2642653 45.4176199, 9.2646784 45.4177931, 9.2644423 45.4180491, 9.2643941 45.4180981, 9.2644504 45.4181263, 9.2644504 45.4181677, 9.2644289 45.4182073, 9.2643914 45.4182299, 9.2642841 45.4181866, 9.2642224 45.4182393, 9.2642948 45.4182769, 9.2641044 45.4184577, 9.2640615 45.4184426, 9.2639622 45.4185556, 9.2636572 45.4184278)))",Condomini San Donato,,,
POINT (9.1115894 45.4384802),Corsico Basketball club rooftop,,45.4384802,9.1115894
,A nice gap and some walls on the roof. don't be loud and ignore people complaining from balconies.,,,
"POLYGON ((9.111242 45.4384462, 9.1112594 45.43841, 9.1108316 45.4382797, 9.1108477 45.438243, 9.1112775 45.43838, 9.1114723 45.4384428, 9.1115187 45.4384168, 9.1117368 45.4384755, 9.1116658 45.4385789, 9.111242 45.4384462))",Corsico Basketball club rooftop,,45.4384462,9.111242
,,,,
POINT (9.229601 45.4395723),Corvetto,,45.4395723,9.229601
"POLYGON ((9.2294119 45.4397511, 9.2292926 45.4395949, 9.229935 45.439321, 9.2301187 45.4395478, 9.2295031 45.4397953, 9.2294119 45.4397511))",Corvetto,,45.4397511,9.2294119
POINT (9.070217 45.426128 0.0),Deutsche Bank Trezzano,,45.426128,9.070217
