WKT,nome,descrizione,latitudine,longitudine
POINT (9.1943834 45.5094772),Total Natural Training (MilanMonkeys gym),The only real Parkour gym in Milan. You need a Medical Certificate to enter and it's opened for everyone only on saturday.,45.5094772,9.1943834
POINT (9.2371634 45.4789769),Zero Gravity Milano,"Trampoline park and mostly tricking gym. Parkour area is covered by mattresses and you can't wear shoes. You also need a medical certificate to get acces to the ""master room"". If you're a foreigner you might not need it.",45.4789769,9.2371634
